"PLUG_ID","WELL_ID","BORE_HOLE_ID","Layer","PLUG_FROM","PLUG_TO","PLUG_DEPTH_UOM"
933108780,"1500253",10022298,1,0.00,118.00,"ft"
933108781,"1501893",10023936,1,0.00,195.00,"ft"
933108782,"1507843",10029878,1,0.00,455.00,"ft"
933108783,"1508907",10030941,1,0.00,,"ft"
933108784,"1509781",10031813,1,0.00,80.00,"ft"
933108785,"1510210",10032238,1,7.00,9.00,"ft"
933108786,"1510212",10032240,1,8.00,10.00,"ft"
933108787,"1510214",10032242,1,15.00,18.00,"ft"
933108788,"1510218",10032246,1,11.00,13.00,"ft"
933108789,"1510392",10032420,1,30.00,120.00,"ft"
933108790,"1511719",10033713,1,3.00,14.00,"ft"
933108791,"1512046",10034039,1,0.00,21.00,"ft"
933108792,"1512050",10034043,1,3.00,20.00,"ft"
933108793,"1512051",10034044,1,15.00,20.00,"ft"
933108794,"1512052",10034045,1,15.00,20.00,"ft"
933108795,"1512053",10034046,1,0.00,20.00,"ft"
933108796,"1512054",10034047,1,15.00,18.00,"ft"
933108797,"1512058",10034051,1,0.00,25.00,"ft"
933108798,"1512248",10034240,1,160.00,,"ft"
933108799,"1512351",10034343,1,8.00,20.00,"ft"
933108800,"1512353",10034345,1,8.00,11.00,"ft"
933108801,"1512357",10034349,1,10.00,12.00,"ft"
933108802,"1512369",10034361,1,10.00,15.00,"ft"
933108803,"1512885",10034873,1,0.00,255.00,"ft"
933108804,"1513387",10035373,1,10.00,12.00,"ft"
933108805,"1513449",10035435,1,20.00,23.00,"ft"
933108806,"1513517",10035503,1,0.00,25.00,"ft"
933108807,"1513684",10035666,1,12.00,18.00,"ft"
933108808,"1513688",10035670,1,11.00,14.00,"ft"
933108809,"1513812",10035794,1,0.00,25.00,"ft"
933108810,"1514013",10035995,1,0.00,18.00,"ft"
933108811,"1514608",10036580,1,0.00,32.00,"ft"
933108812,"1516673",10038578,1,18.00,22.00,"ft"
933108813,"1517419",10039294,1,80.00,85.00,"ft"
933108814,"1517448",10039323,1,0.00,20.00,"ft"
933108815,"1517449",10039324,1,0.00,20.00,"ft"
933108816,"1517674",10039546,1,6.00,100.00,"ft"
933108817,"1517676",10039548,1,0.00,25.00,"ft"
933108818,"1517792",10039664,1,0.00,29.00,"ft"
933108819,"1517824",10039696,1,5.00,25.00,"ft"
933108820,"1518063",10039934,1,0.00,22.00,"ft"
933108821,"1518209",10040079,1,3.00,22.00,"ft"
933108822,"1518541",10040411,1,33.00,43.00,"ft"
933108823,"1518611",10040481,1,0.00,20.00,"ft"
933108824,"1518762",10040632,1,0.00,20.00,"ft"
933108825,"1518772",10040642,1,0.00,20.00,"ft"
933108826,"1518786",10040656,1,5.00,21.00,"ft"
933108827,"1518796",10040666,1,10.00,30.00,"ft"
933108828,"1518913",10040783,1,0.00,25.00,"ft"
933108829,"1518914",10040784,1,0.00,25.00,"ft"
933108830,"1518915",10040785,1,0.00,25.00,"ft"
933108831,"1518963",10040833,1,5.00,20.00,"ft"
933108832,"1518964",10040834,1,5.00,20.00,"ft"
933108833,"1519011",10040881,1,0.00,25.00,"ft"
933108834,"1519012",10040882,1,0.00,20.00,"ft"
933108835,"1519013",10040883,1,0.00,30.00,"ft"
933108836,"1519049",10040919,1,0.00,22.00,"ft"
933108837,"1519050",10040920,1,0.00,20.00,"ft"
933108838,"1519098",10040968,1,10.00,22.00,"ft"
933108839,"1519127",10040997,1,10.00,20.00,"ft"
933108840,"1519134",10041004,1,0.00,23.00,"ft"
933108841,"1519155",10041025,1,0.00,30.00,"ft"
933108842,"1519157",10041027,1,0.00,25.00,"ft"
933108843,"1519158",10041028,1,0.00,22.00,"ft"
933108844,"1519159",10041029,1,0.00,30.00,"ft"
933108845,"1519160",10041030,1,0.00,25.00,"ft"
933108846,"1519161",10041031,1,0.00,25.00,"ft"
933108847,"1519181",10041051,1,10.00,20.00,"ft"
933108848,"1519223",10041093,1,0.00,22.00,"ft"
933108849,"1519224",10041094,1,0.00,44.00,"ft"
933108850,"1519258",10041128,1,0.00,30.00,"ft"
933108851,"1519260",10041130,1,0.00,25.00,"ft"
933108852,"1519261",10041131,1,0.00,30.00,"ft"
933108853,"1519262",10041132,1,0.00,25.00,"ft"
933108854,"1519301",10041171,1,10.00,22.00,"ft"
933108855,"1519304",10041174,1,10.00,22.00,"ft"
933108856,"1519347",10041217,1,0.00,44.00,"ft"
933108857,"1519369",10041239,1,0.00,44.00,"ft"
933108858,"1519403",10041273,1,0.00,25.00,"ft"
933108859,"1519404",10041274,1,0.00,26.00,"ft"
933108860,"1519415",10041285,1,0.00,25.00,"ft"
933108861,"1519417",10041287,1,0.00,25.00,"ft"
933108862,"1519420",10041290,1,0.00,25.00,"ft"
933108863,"1519421",10041291,1,0.00,25.00,"ft"
933108864,"1519460",10041330,1,10.00,22.00,"ft"
933108865,"1519463",10041333,1,8.00,22.00,"ft"
933108866,"1519470",10041340,1,5.00,30.00,"ft"
933108867,"1519495",10041365,1,0.00,25.00,"ft"
933108868,"1519585",10041455,1,0.00,20.00,"ft"
933108869,"1519591",10041461,1,0.00,19.00,"ft"
933108870,"1519593",10041463,1,0.00,43.00,"ft"
933108871,"1519596",10041466,1,0.00,38.00,"ft"
933108872,"1519597",10041467,1,0.00,17.00,"ft"
933108873,"1519600",10041470,1,0.00,45.00,"ft"
933108874,"1519604",10041474,1,0.00,37.00,"ft"
933108875,"1519608",10041477,1,0.00,30.00,"ft"
933108876,"1519624",10041493,1,0.00,20.00,"ft"
933108877,"1519625",10041494,1,0.00,20.00,"ft"
933108878,"1519630",10041499,1,0.00,15.00,"ft"
933108879,"1519673",10041526,1,0.00,45.00,"ft"
933108880,"1519675",10041528,1,0.00,46.00,"ft"
933108881,"1519685",10041538,1,0.00,23.00,"ft"
933108882,"1519687",10041540,1,10.00,20.00,"ft"
933108883,"1519690",10041543,1,10.00,29.00,"ft"
933108884,"1519696",10041549,1,10.00,22.00,"ft"
933108885,"1519699",10041552,1,0.00,22.00,"ft"
933108886,"1519708",10041561,1,0.00,19.00,"ft"
933108887,"1519709",10041562,1,0.00,23.00,"ft"
933108888,"1519714",10041567,1,4.00,21.00,"ft"
933108889,"1519733",10041586,1,10.00,22.00,"ft"
933108890,"1519744",10041597,1,10.00,20.00,"ft"
933108891,"1519749",10041602,1,0.00,34.00,"ft"
933108892,"1519751",10041604,1,10.00,26.00,"ft"
933108893,"1519752",10041605,1,10.00,22.00,"ft"
933108894,"1519764",10041617,1,0.00,21.00,"ft"
933108895,"1519765",10041618,1,0.00,21.00,"ft"
933108896,"1519766",10041619,1,0.00,21.00,"ft"
933108897,"1519779",10041632,1,0.00,44.00,"ft"
933108898,"1519788",10041641,1,0.00,21.00,"ft"
933108899,"1519791",10041644,1,0.00,23.00,"ft"
933108900,"1519794",10041647,1,0.00,26.00,"ft"
933108901,"1519795",10041648,1,0.00,25.00,"ft"
933108902,"1519796",10041649,1,0.00,21.00,"ft"
933108903,"1519797",10041650,1,0.00,22.00,"ft"
933108904,"1519799",10041652,1,0.00,22.00,"ft"
933108905,"1519800",10041653,1,0.00,26.00,"ft"
933108906,"1519802",10041655,1,0.00,21.00,"ft"
933108907,"1519803",10041656,1,0.00,21.00,"ft"
933108908,"1519807",10041660,1,0.00,21.00,"ft"
933108909,"1519808",10041661,1,5.00,21.00,"ft"
933108910,"1519809",10041662,1,0.00,25.00,"ft"
933108911,"1519810",10041663,1,25.00,,"ft"
933108912,"1519811",10041664,1,0.00,22.00,"ft"
933108913,"1519812",10041665,1,0.00,31.00,"ft"
933108914,"1519813",10041666,1,0.00,22.00,"ft"
933108915,"1519814",10041667,1,0.00,22.00,"ft"
933108916,"1519819",10041672,1,8.00,23.00,"ft"
933108917,"1519828",10041681,1,0.00,21.00,"ft"
933108918,"1519832",10041685,1,0.00,74.00,"ft"
933108919,"1519833",10041686,1,0.00,22.00,"ft"
933108920,"1519834",10041687,1,0.00,163.00,"ft"
933108921,"1519839",10041692,1,0.00,21.00,"ft"
933108922,"1519840",10041693,1,0.00,26.00,"ft"
933108923,"1519841",10041694,1,0.00,22.00,"ft"
933108924,"1519849",10041702,1,8.00,22.00,"ft"
933108925,"1519856",10041709,1,0.00,44.00,"ft"
933108926,"1519862",10041715,1,5.00,20.00,"ft"
933108927,"1519866",10041719,1,0.00,21.00,"ft"
933108928,"1519873",10041726,1,0.00,20.00,"ft"
933108929,"1519874",10041727,1,5.00,15.00,"ft"
933108930,"1519875",10041728,1,0.00,10.00,"ft"
933108931,"1519877",10041730,1,4.00,20.00,"ft"
933108932,"1519885",10041738,1,0.00,22.00,"ft"
933108933,"1519886",10041739,1,0.00,22.00,"ft"
933108934,"1519889",10041742,1,0.00,30.00,"ft"
933108935,"1519890",10041743,1,0.00,18.00,"ft"
933108936,"1519893",10041746,1,0.00,20.00,"ft"
933108937,"1519895",10041748,1,0.00,22.00,"ft"
933108938,"1519904",10041757,1,0.00,32.00,"ft"
933108939,"1519905",10041758,1,0.00,20.00,"ft"
933108940,"1519906",10041759,1,0.00,25.00,"ft"
933108941,"1519907",10041760,1,0.00,25.00,"ft"
933108942,"1519914",10041767,1,0.00,53.00,"ft"
933108943,"1519915",10041768,1,0.00,22.00,"ft"
933108944,"1519939",10041791,1,0.00,22.00,"ft"
933108945,"1519940",10041792,1,0.00,22.00,"ft"
933108946,"1519941",10041793,1,0.00,17.00,"ft"
933108947,"1519946",10041797,1,8.00,22.00,"ft"
933108948,"1519950",10041800,1,4.00,6.00,"ft"
933108949,"1519951",10041801,1,0.00,22.00,"ft"
933108950,"1519969",10041819,1,4.00,6.00,"ft"
933108951,"1519975",10041825,1,0.00,45.00,"ft"
933108952,"1519979",10041829,1,0.00,20.00,"ft"
933108953,"1519983",10041833,1,0.00,20.00,"ft"
933108954,"1519985",10041835,1,20.00,40.00,"ft"
933108955,"1519986",10041836,1,0.00,20.00,"ft"
933108956,"1519987",10041837,1,0.00,20.00,"ft"
933108957,"1519988",10041838,1,20.00,40.00,"ft"
933108958,"1519989",10041839,1,0.00,40.00,"ft"
933108959,"1519990",10041840,1,0.00,20.00,"ft"
933108960,"1519991",10041841,1,0.00,20.00,"ft"
933108961,"1519992",10041842,1,0.00,20.00,"ft"
933108962,"1519993",10041843,1,0.00,40.00,"ft"
933108963,"1519996",10041846,1,0.00,40.00,"ft"
933108964,"1519999",10041849,1,0.00,20.00,"ft"
933108965,"1520001",10041851,1,0.00,20.00,"ft"
933108966,"1520002",10041852,1,0.00,20.00,"ft"
933108967,"1520010",10041860,1,0.00,42.00,"ft"
933108968,"1520018",10041868,1,0.00,22.00,"ft"
933108969,"1520020",10041870,1,10.00,22.00,"ft"
933108970,"1520022",10041872,1,0.00,22.00,"ft"
933108971,"1520023",10041873,1,10.00,20.00,"ft"
933108972,"1520024",10041874,1,10.00,22.00,"ft"
933108973,"1520025",10041875,1,10.00,22.00,"ft"
933108974,"1520032",10041882,1,0.00,22.00,"ft"
933108975,"1520033",10041883,1,0.00,22.00,"ft"
933108976,"1520034",10041884,1,0.00,22.00,"ft"
933108977,"1520036",10041886,1,0.00,20.00,"ft"
933108978,"1520037",10041887,1,0.00,20.00,"ft"
933108979,"1520038",10041888,1,0.00,10.00,"ft"
933108980,"1520039",10041889,1,2.00,18.00,"ft"
933108981,"1520041",10041891,1,0.00,22.00,"ft"
933108982,"1520042",10041892,1,0.00,22.00,"ft"
933108983,"1520043",10041893,1,0.00,18.00,"ft"
933108984,"1520045",10041895,1,10.00,44.00,"ft"
933108985,"1520048",10041898,1,5.00,22.00,"ft"
933108986,"1520049",10041899,1,10.00,22.00,"ft"
933108987,"1520058",10041908,1,0.00,45.00,"ft"
933108988,"1520061",10041911,1,0.00,43.00,"ft"
933108989,"1520063",10041913,1,0.00,45.00,"ft"
933108990,"1520065",10041915,1,0.00,45.00,"ft"
933108991,"1520074",10041924,1,10.00,22.00,"ft"
933108992,"1520077",10041927,1,0.00,45.00,"ft"
933108993,"1520079",10041929,1,0.00,20.00,"ft"
933108994,"1520080",10041930,1,0.00,20.00,"ft"
933108995,"1520082",10041932,1,0.00,22.00,"ft"
933108996,"1520083",10041933,1,0.00,30.00,"ft"
933108997,"1520089",10041939,1,5.00,40.00,"ft"
933108998,"1520101",10041951,1,10.00,25.00,"ft"
933108999,"1520104",10041954,1,0.00,20.00,"ft"
933109000,"1520105",10041955,1,10.00,22.00,"ft"
933109001,"1520107",10041957,1,10.00,22.00,"ft"
933109002,"1520109",10041959,1,10.00,20.00,"ft"
933109003,"1520115",10041965,1,0.00,10.00,"ft"
933109004,"1520116",10041966,1,0.00,22.00,"ft"
933109005,"1520117",10041967,1,0.00,21.00,"ft"
933109006,"1520118",10041968,1,0.00,131.00,"ft"
933109007,"1520119",10041969,1,0.00,170.00,"ft"
933109008,"1520120",10041970,1,0.00,20.00,"ft"
933109009,"1520123",10041972,1,0.00,22.00,"ft"
933109010,"1520124",10041973,1,0.00,168.00,"ft"
933109011,"1520125",10041974,1,0.00,158.00,"ft"
933109012,"1520127",10041976,1,0.00,18.00,"ft"
933109013,"1520128",10041977,1,0.00,180.00,"ft"
933109014,"1520130",10041978,1,4.00,6.00,"ft"
933109015,"1520131",10041979,1,0.00,20.00,"ft"
933109016,"1520132",10041980,1,2.00,20.00,"ft"
933109017,"1520133",10041981,1,0.00,22.00,"ft"
933109018,"1520140",10041988,1,2.00,12.00,"ft"
933109019,"1520145",10041991,1,0.00,44.00,"ft"
933109020,"1520148",10041993,1,0.00,18.00,"ft"
933109021,"1520152",10041997,1,5.00,40.00,"ft"
933109022,"1520164",10042009,1,0.00,44.00,"ft"
933109023,"1520166",10042011,1,5.00,40.00,"ft"
933109024,"1520171",10042016,1,0.00,20.00,"ft"
933109025,"1520173",10042018,1,8.00,20.00,"ft"
933109026,"1520174",10042019,1,15.00,8.00,"ft"
933109027,"1520175",10042020,1,8.00,20.00,"ft"
933109028,"1520176",10042021,1,8.00,20.00,"ft"
933109029,"1520177",10042022,1,0.00,70.00,"ft"
933109030,"1520178",10042023,1,8.00,20.00,"ft"
933109031,"1520179",10042024,1,8.00,20.00,"ft"
933109032,"1520180",10042025,1,8.00,20.00,"ft"
933109033,"1520181",10042026,1,8.00,75.00,"ft"
933109034,"1520185",10042030,1,37.00,,"ft"
933109035,"1520187",10042032,1,0.00,45.00,"ft"
933109036,"1520189",10042034,1,3.00,15.00,"ft"
933109037,"1520190",10042035,1,0.00,23.00,"ft"
933109038,"1520191",10042036,1,0.00,20.00,"ft"
933109039,"1520194",10042039,1,0.00,55.00,"ft"
933109040,"1520196",10042041,1,6.00,20.00,"ft"
933109041,"1520208",10042053,1,0.00,19.00,"ft"
933109042,"1520209",10042054,1,0.00,55.00,"ft"
933109043,"1520211",10042056,1,0.00,25.00,"ft"
933109044,"1520212",10042057,1,0.00,25.00,"ft"
933109045,"1520213",10042058,1,0.00,22.00,"ft"
933109046,"1520214",10042059,1,0.00,25.00,"ft"
933109047,"1520215",10042060,1,0.00,23.00,"ft"
933109048,"1520216",10042061,1,0.00,78.00,"ft"
933109049,"1520217",10042062,1,0.00,52.00,"ft"
933109050,"1520218",10042063,1,0.00,44.00,"ft"
933109051,"1520219",10042064,1,0.00,54.00,"ft"
933109052,"1520220",10042065,1,0.00,54.00,"ft"
933109053,"1520221",10042066,1,0.00,22.00,"ft"
933109054,"1520222",10042067,1,0.00,41.00,"ft"
933109055,"1520223",10042068,1,0.00,39.00,"ft"
933109056,"1520224",10042069,1,0.00,24.00,"ft"
933109057,"1520225",10042070,1,0.00,39.00,"ft"
933109058,"1520226",10042071,1,0.00,41.00,"ft"
933109059,"1520227",10042072,1,0.00,39.00,"ft"
933109060,"1520228",10042073,1,8.00,22.00,"ft"
933109061,"1520229",10042074,1,8.00,20.00,"ft"
933109062,"1520231",10042076,1,8.00,20.00,"ft"
933109063,"1520233",10042078,1,0.00,78.00,"ft"
933109064,"1520235",10042080,1,8.00,20.00,"ft"
933109065,"1520236",10042081,1,8.00,20.00,"ft"
933109066,"1520237",10042082,1,0.00,20.00,"ft"
933109067,"1520243",10042087,1,10.00,20.00,"ft"
933109068,"1520259",10042102,1,0.00,20.00,"ft"
933109069,"1520301",10042144,1,0.00,15.00,"ft"
933109070,"1520313",10042156,1,0.00,20.00,"ft"
933109071,"1520313",10042156,2,3.00,60.00,"ft"
933109072,"1520318",10042161,1,0.00,59.00,"ft"
933109073,"1520346",10042189,1,0.00,40.00,"ft"
933109074,"1520347",10042190,1,0.00,40.00,"ft"
933109075,"1520363",10042206,1,0.00,20.00,"ft"
933109076,"1520364",10042207,1,0.00,20.00,"ft"
933109077,"1520364",10042207,2,55.00,66.00,"ft"
933109078,"1520401",10042244,1,0.00,48.00,"ft"
933109079,"1520404",10042247,1,0.00,22.00,"ft"
933109080,"1520432",10042275,1,4.00,50.00,"ft"
933109081,"1520439",10042282,1,0.00,41.00,"ft"
933109082,"1520440",10042283,1,0.00,20.00,"ft"
933109083,"1520441",10042284,1,0.00,40.00,"ft"
933109084,"1520442",10042285,1,0.00,20.00,"ft"
933109085,"1520443",10042286,1,0.00,20.00,"ft"
933109086,"1520446",10042289,1,10.00,54.00,"ft"
933109087,"1520452",10042295,1,0.00,26.00,"ft"
933109088,"1520457",10042300,1,0.00,44.00,"ft"
933109089,"1520460",10042303,1,0.00,44.00,"ft"
933109090,"1520461",10042304,1,10.00,22.00,"ft"
933109091,"1520463",10042306,1,0.00,22.00,"ft"
933109092,"1520465",10042308,1,0.00,20.00,"ft"
933109093,"1520466",10042309,1,0.00,14.00,"ft"
933109094,"1520470",10042313,1,6.00,20.00,"ft"
933109095,"1520471",10042314,1,8.00,20.00,"ft"
933109096,"1520472",10042315,1,8.00,20.00,"ft"
933109097,"1520473",10042316,1,0.00,20.00,"ft"
933109098,"1520475",10042318,1,0.00,58.00,"ft"
933109099,"1520476",10042319,1,0.00,46.00,"ft"
933109100,"1520477",10042320,1,0.00,40.00,"ft"
933109101,"1520478",10042321,1,0.00,19.00,"ft"
933109102,"1520479",10042322,1,0.00,53.00,"ft"
933109103,"1520480",10042323,1,0.00,50.00,"ft"
933109104,"1520481",10042324,1,0.00,51.00,"ft"
933109105,"1520482",10042325,1,0.00,56.00,"ft"
933109106,"1520489",10042331,1,0.00,22.00,"ft"
933109107,"1520498",10042340,1,8.00,20.00,"ft"
933109108,"1520499",10042341,1,5.00,10.00,"ft"
933109109,"1520500",10042342,1,8.00,20.00,"ft"
933109110,"1520502",10042344,1,0.00,42.00,"ft"
933109111,"1520503",10042345,1,0.00,44.00,"ft"
933109112,"1520508",10042350,1,0.00,25.00,"ft"
933109113,"1520509",10042351,1,0.00,40.00,"ft"
933109114,"1520510",10042352,1,0.00,44.00,"ft"
933109115,"1520513",10042355,1,0.00,21.00,"ft"
933109116,"1520518",10042360,1,20.00,35.00,"ft"
933109117,"1520519",10042361,1,7.00,19.00,"ft"
933109118,"1520520",10042362,1,5.00,20.00,"ft"
933109119,"1520521",10042363,1,18.00,43.00,"ft"
933109120,"1520522",10042364,1,8.00,21.00,"ft"
933109121,"1520524",10042366,1,0.00,20.00,"ft"
933109122,"1520525",10042367,1,20.00,6.00,"ft"
933109123,"1520526",10042368,1,0.00,20.00,"ft"
933109124,"1520528",10042370,1,15.00,30.00,"ft"
933109125,"1520531",10042373,1,36.00,51.00,"ft"
933109126,"1520535",10042377,1,10.00,20.00,"ft"
933109127,"1520536",10042378,1,0.00,22.00,"ft"
933109128,"1520537",10042379,1,0.00,20.00,"ft"
933109129,"1520538",10042380,1,0.00,146.00,"ft"
933109130,"1520539",10042381,1,0.00,12.00,"ft"
933109131,"1520539",10042381,2,12.00,103.00,"ft"
933109132,"1520540",10042382,1,88.00,205.00,"ft"
933109133,"1520541",10042383,1,0.00,20.00,"ft"
933109134,"1520545",10042387,1,0.00,20.00,"ft"
933109135,"1520546",10042388,1,0.00,20.00,"ft"
933109136,"1520547",10042389,1,0.00,20.00,"ft"
933109137,"1520548",10042390,1,0.00,20.00,"ft"
933109138,"1520549",10042391,1,0.00,20.00,"ft"
933109139,"1520550",10042392,1,0.00,22.00,"ft"
933109140,"1520552",10042394,1,0.00,28.00,"ft"
933109141,"1520554",10042396,1,15.00,44.00,"ft"
933109142,"1520555",10042397,1,0.00,22.00,"ft"
933109143,"1520555",10042397,2,185.00,205.00,"ft"
933109144,"1520559",10042401,1,1.00,20.00,"ft"
933109145,"1520560",10042402,1,0.00,44.00,"ft"
933109146,"1520562",10042404,1,0.00,40.00,"ft"
933109147,"1520563",10042405,1,0.00,40.00,"ft"
933109148,"1520564",10042406,1,0.00,44.00,"ft"
933109149,"1520569",10042411,1,4.00,42.00,"ft"
933109150,"1520570",10042412,1,0.00,22.00,"ft"
933109151,"1520573",10042415,1,0.00,18.00,"ft"
933109152,"1520574",10042416,1,0.00,15.00,"ft"
933109153,"1520575",10042417,1,0.00,20.00,"ft"
933109154,"1520584",10042426,1,2.00,20.00,"ft"
933109155,"1520585",10042427,1,5.00,22.00,"ft"
933109156,"1520586",10042428,1,0.00,22.00,"ft"
933109157,"1520587",10042429,1,0.00,18.00,"ft"
933109158,"1520588",10042430,1,0.00,20.00,"ft"
933109159,"1520589",10042431,1,0.00,18.00,"ft"
933109160,"1520590",10042432,1,0.00,27.00,"ft"
933109161,"1520591",10042433,1,0.00,22.00,"ft"
933109162,"1520592",10042434,1,0.00,22.00,"ft"
933109163,"1520593",10042435,1,15.00,75.00,"ft"
933109164,"1520593",10042435,2,110.00,145.00,"ft"
933109165,"1520594",10042436,1,0.00,22.00,"ft"
933109166,"1520598",10042440,1,0.00,41.00,"ft"
933109167,"1520600",10042442,1,0.00,22.00,"ft"
933109168,"1520611",10042453,1,8.00,20.00,"ft"
933109169,"1520612",10042454,1,10.00,22.00,"ft"
933109170,"1520625",10042467,1,0.00,20.00,"ft"
933109171,"1520626",10042468,1,0.00,18.00,"ft"
933109172,"1520629",10042471,1,10.00,20.00,"ft"
933109173,"1520636",10042478,1,0.00,30.00,"ft"
933109174,"1520640",10042482,1,10.00,20.00,"ft"
933109175,"1520641",10042483,1,0.00,28.00,"ft"
933109176,"1520646",10042488,1,10.00,20.00,"ft"
933109177,"1520662",10042504,1,0.00,40.00,"ft"
933109178,"1520665",10042507,1,0.00,24.00,"ft"
933109179,"1520666",10042508,1,0.00,30.00,"ft"
933109180,"1520669",10042511,1,0.00,67.00,"ft"
933109181,"1520670",10042512,1,0.00,38.00,"ft"
933109182,"1520671",10042513,1,0.00,40.00,"ft"
933109183,"1520673",10042515,1,0.00,55.00,"ft"
933109184,"1520674",10042516,1,0.00,49.00,"ft"
933109185,"1520675",10042517,1,0.00,60.00,"ft"
933109186,"1520676",10042518,1,8.00,25.00,"ft"
933109187,"1520677",10042519,1,8.00,18.00,"ft"
933109188,"1520678",10042520,1,8.00,20.00,"ft"
933109189,"1520679",10042521,1,8.00,28.00,"ft"
933109190,"1520680",10042522,1,8.00,20.00,"ft"
933109191,"1520681",10042523,1,8.00,20.00,"ft"
933109192,"1520682",10042524,1,0.00,47.00,"ft"
933109193,"1520683",10042525,1,0.00,49.00,"ft"
933109194,"1520684",10042526,1,0.00,64.00,"ft"
933109195,"1520686",10042528,1,0.00,54.00,"ft"
933109196,"1520687",10042529,1,0.00,49.00,"ft"
933109197,"1520688",10042530,1,0.00,35.00,"ft"
933109198,"1520689",10042531,1,0.00,24.00,"ft"
933109199,"1520690",10042532,1,0.00,40.00,"ft"
933109200,"1520691",10042533,1,0.00,40.00,"ft"
933109201,"1520692",10042534,1,0.00,28.00,"ft"
933109202,"1520693",10042535,1,0.00,30.00,"ft"
933109203,"1520694",10042536,1,0.00,30.00,"ft"
933109204,"1520695",10042537,1,0.00,25.00,"ft"
933109205,"1520696",10042538,1,0.00,25.00,"ft"
933109206,"1520697",10042539,1,0.00,36.00,"ft"
933109207,"1520698",10042540,1,0.00,30.00,"ft"
933109208,"1520699",10042541,1,0.00,58.00,"ft"
933109209,"1520700",10042542,1,0.00,61.00,"ft"
933109210,"1520701",10042543,1,0.00,21.00,"ft"
933109211,"1520707",10042549,1,0.00,23.00,"ft"
933109212,"1520710",10042552,1,0.00,40.00,"ft"
933109213,"1520711",10042553,1,0.00,25.00,"ft"
933109214,"1520712",10042554,1,0.00,21.00,"ft"
933109215,"1520732",10042573,1,0.00,44.00,"ft"
933109216,"1520733",10042574,1,0.00,44.00,"ft"
933109217,"1520734",10042575,1,0.00,37.00,"ft"
933109218,"1520736",10042577,1,0.00,40.00,"ft"
933109219,"1520741",10042582,1,6.00,45.00,"ft"
933109220,"1520745",10042586,1,0.00,40.00,"ft"
933109221,"1520746",10042587,1,0.00,20.00,"ft"
933109222,"1520747",10042588,1,0.00,18.00,"ft"
933109223,"1520753",10042594,1,0.00,18.00,"ft"
933109224,"1520755",10042596,1,5.00,20.00,"ft"
933109225,"1520756",10042597,1,5.00,20.00,"ft"
933109226,"1520757",10042598,1,0.00,10.00,"ft"
933109227,"1520766",10042607,1,0.00,44.00,"ft"
933109228,"1520784",10042625,1,0.00,37.00,"ft"
933109229,"1520789",10042630,1,0.00,143.00,"ft"
933109230,"1520790",10042631,1,0.00,144.00,"ft"
933109231,"1520804",10042645,1,0.00,20.00,"ft"
933109232,"1520805",10042646,1,0.00,40.00,"ft"
933109233,"1520809",10042650,1,0.00,24.00,"ft"
933109234,"1520810",10042651,1,0.00,26.00,"ft"
933109235,"1520811",10042652,1,0.00,22.00,"ft"
933109236,"1520815",10042656,1,0.00,22.00,"ft"
933109237,"1520816",10042657,1,10.00,22.00,"ft"
933109238,"1520820",10042661,1,10.00,35.00,"ft"
933109239,"1520821",10042662,1,6.00,25.00,"ft"
933109240,"1520822",10042663,1,0.00,20.00,"ft"
933109241,"1520823",10042664,1,20.00,34.00,"ft"
933109242,"1520831",10042672,1,0.00,40.00,"ft"
933109243,"1520832",10042673,1,0.00,40.00,"ft"
933109244,"1520872",10042713,1,0.00,22.00,"ft"
933109245,"1520873",10042714,1,0.00,22.00,"ft"
933109246,"1520874",10042715,1,0.00,22.00,"ft"
933109247,"1520875",10042716,1,0.00,20.00,"ft"
933109248,"1520877",10042718,1,18.00,10.00,"ft"
933109249,"1520882",10042723,1,0.00,20.00,"ft"
933109250,"1520884",10042725,1,0.00,18.00,"ft"
933109251,"1520886",10042727,1,0.00,20.00,"ft"
933109252,"1520888",10042729,1,0.00,22.00,"ft"
933109253,"1520890",10042731,1,0.00,20.00,"ft"
933109254,"1520891",10042732,1,0.00,40.00,"ft"
933109255,"1520895",10042736,1,0.00,42.00,"ft"
933109256,"1520911",10042752,1,0.00,25.00,"ft"
933109257,"1520912",10042753,1,0.00,25.00,"ft"
933109258,"1520913",10042754,1,0.00,25.00,"ft"
933109259,"1520914",10042755,1,0.00,21.00,"ft"
933109260,"1520915",10042756,1,0.00,39.00,"ft"
933109261,"1520917",10042758,1,0.00,25.00,"ft"
933109262,"1520918",10042759,1,0.00,25.00,"ft"
933109263,"1520919",10042760,1,0.00,42.00,"ft"
933109264,"1520920",10042761,1,6.00,22.00,"ft"
933109265,"1520921",10042762,1,0.00,50.00,"ft"
933109266,"1520922",10042763,1,0.00,54.00,"ft"
933109267,"1520923",10042764,1,0.00,49.00,"ft"
933109268,"1520924",10042765,1,0.00,50.00,"ft"
933109269,"1520925",10042766,1,0.00,57.00,"ft"
933109270,"1520926",10042767,1,0.00,20.00,"ft"
933109271,"1520927",10042768,1,0.00,20.00,"ft"
933109272,"1520928",10042769,1,0.00,22.00,"ft"
933109273,"1520929",10042770,1,0.00,22.00,"ft"
933109274,"1520930",10042771,1,0.00,28.00,"ft"
933109275,"1520932",10042773,1,0.00,22.00,"ft"
933109276,"1520933",10042774,1,0.00,22.00,"ft"
933109277,"1520934",10042775,1,0.00,23.00,"ft"
